question_id,title,tags,view_count,answer_count,score,is_answered,creation_date,owner_type,link
75210324,OpenAI GPT-3 API error: &quot;You didn&#39;t provide an API key. You need to provide your API key in an Authorization header using Bearer auth&quot;,php|openai-api|gpt-3,4616,1,1,True,2023-01-23 22:39:13,registered,https://stackoverflow.com/questions/75210324/openai-gpt-3-api-error-you-didnt-provide-an-api-key-you-need-to-provide-your
75209923,Calls error on ffmpeg module which doesnt have error attribute,python|openai-api|openai-whisper,2168,1,-2,True,2023-01-23 22:02:05,registered,https://stackoverflow.com/questions/75209923/calls-error-on-ffmpeg-module-which-doesnt-have-error-attribute
75196860,"What is the OpenAI API warning: To avoid an invalid_request_error, best_of was set to equal n. What is &quot;best of&quot;?",jupyter-lab|openai-api|gpt-2|gpt-3,707,1,0,True,2023-01-22 07:01:29,registered,https://stackoverflow.com/questions/75196860/what-is-the-openai-api-warning-to-avoid-an-invalid-request-error-best-of-was-s
75196859,How to make the bot multithreaded?,python|telegram-bot|openai-api|aiogram|gpt-3,392,0,0,False,2023-01-22 07:00:57,registered,https://stackoverflow.com/questions/75196859/how-to-make-the-bot-multithreaded
75196414,"OpenAI API error 500: &quot;The server had an error while processing your request&quot;, 503: &quot;Service Unavailable&quot; or 504: &quot;Gateway Timeout&quot;",python|openai-api|gpt-3,7675,1,2,True,2023-01-22 05:40:18,registered,https://stackoverflow.com/questions/75196414/openai-api-error-500-the-server-had-an-error-while-processing-your-request-5
75176667,OpenAI GPT-3 API error: &quot;Cannot specify both model and engine&quot;,python|json|python-3.x|openai-api|gpt-3,8058,2,1,True,2023-01-20 03:19:45,registered,https://stackoverflow.com/questions/75176667/openai-gpt-3-api-error-cannot-specify-both-model-and-engine
75167091,Getting random unrelated API responses from OpenAI text-davinci-003,node.js|nlp|openai-api,331,0,1,False,2023-01-19 11:01:52,does_not_exist,https://stackoverflow.com/questions/75167091/getting-random-unrelated-api-responses-from-openai-text-davinci-003
75152513,How to create a .env with with the apikey of openai in a react app?,reactjs|api-key|openai-api|.env,2039,3,0,False,2023-01-18 06:41:37,registered,https://stackoverflow.com/questions/75152513/how-to-create-a-env-with-with-the-apikey-of-openai-in-a-react-app
75139801,How to solve Authorization header using Bearer Angular x OpenAI,node.js|angular|http-post|openai-api,1137,1,2,False,2023-01-17 06:19:37,registered,https://stackoverflow.com/questions/75139801/how-to-solve-authorization-header-using-bearer-angular-x-openai
75136962,OpenAI GPT-3 API error: &quot;TypeError: Converting circular structure to JSON&quot; using ExpressJS,node.js|express|openai-api|gpt-3,1487,2,1,True,2023-01-17 01:20:20,registered,https://stackoverflow.com/questions/75136962/openai-gpt-3-api-error-typeerror-converting-circular-structure-to-json-using
75130116,Getting 400 Bad Request from Open AI API using Python Flask,flask|flask-restful|openai-api|gpt-3,1492,1,-2,True,2023-01-16 12:56:19,registered,https://stackoverflow.com/questions/75130116/getting-400-bad-request-from-open-ai-api-using-python-flask
75129931,Getting error 400 OpenAI files endpoint Node.js,node.js|artificial-intelligence|openai-api,588,1,0,True,2023-01-16 12:11:58,registered,https://stackoverflow.com/questions/75129931/getting-error-400-openai-files-endpoint-node-js
75124685,Unable to install tiktoken from PyPI,pypi|setup.py|openai-api,19863,2,5,True,2023-01-15 20:25:03,registered,https://stackoverflow.com/questions/75124685/unable-to-install-tiktoken-from-pypi
75112896,Why Open AI API returns a random text,google-apps-script|google-sheets|urlfetch|openai-api,1342,3,-2,True,2023-01-14 03:00:24,registered,https://stackoverflow.com/questions/75112896/why-open-ai-api-returns-a-random-text
75112672,No module named &#39;openai_secret_manager&#39;,python|pandas|openai-api|gpt-3,11189,2,2,True,2023-01-14 02:40:20,registered,https://stackoverflow.com/questions/75112672/no-module-named-openai-secret-manager
75106599,OpenAI GPT-3 API: Why am I getting different completions on Playground vs. the API?,php|artificial-intelligence|openai-api|gpt-3,2322,1,2,True,2023-01-13 17:28:15,registered,https://stackoverflow.com/questions/75106599/openai-gpt-3-api-why-am-i-getting-different-completions-on-playground-vs-the-a
75091786,OpenAI Unity - POST Request not working properly (400 status),unity-game-engine|httprequest|openai-api|gpt-3,555,1,4,True,2023-01-12 13:58:07,registered,https://stackoverflow.com/questions/75091786/openai-unity-post-request-not-working-properly-400-status
75084272,OpenAI GPT-3 API: How to keep the format of the response?,openai-api|gpt-3,7982,4,3,True,2023-01-11 23:02:46,registered,https://stackoverflow.com/questions/75084272/openai-gpt-3-api-how-to-keep-the-format-of-the-response
75081879,Dall-E API in Node.js always returns 400 Bad Request,node.js|next.js|openai-api,819,1,0,True,2023-01-11 19:51:38,registered,https://stackoverflow.com/questions/75081879/dall-e-api-in-node-js-always-returns-400-bad-request
75081846,Using Dall-E in google appscript,google-apps-script|google-sheets|openai-api,320,1,-1,True,2023-01-11 19:49:14,registered,https://stackoverflow.com/questions/75081846/using-dall-e-in-google-appscript
75079926,How to use an API from my mobile app without someone stealing the token,android|react-native|security|openai-api,2805,2,5,True,2023-01-11 17:06:16,registered,https://stackoverflow.com/questions/75079926/how-to-use-an-api-from-my-mobile-app-without-someone-stealing-the-token
75069602,How to fix pip install openai error: subprocess-exited-with-error,python|pip|openai-api,2079,0,0,False,2023-01-10 20:54:49,registered,https://stackoverflow.com/questions/75069602/how-to-fix-pip-install-openai-error-subprocess-exited-with-error
75067851,How to fix Python pip install openai error: subprocess-exited-with-error,python|python-3.x|windows|openai-api|gpt-3,25996,3,6,True,2023-01-10 18:23:45,registered,https://stackoverflow.com/questions/75067851/how-to-fix-python-pip-install-openai-error-subprocess-exited-with-error
75058505,Html form open&#39;s file in text instead of showing output from Python code,python|html|forms|openai-api,51,1,0,False,2023-01-09 23:11:33,registered,https://stackoverflow.com/questions/75058505/html-form-opens-file-in-text-instead-of-showing-output-from-python-code
75051126,"Open AI&#39;s GPT Davinci - Asking it questions, but it&#39;s returning gibberish?",c#|.net|openai-api|gpt-3,473,1,0,True,2023-01-09 05:41:38,registered,https://stackoverflow.com/questions/75051126/open-ais-gpt-davinci-asking-it-questions-but-its-returning-gibberish
75050771,PHP CURL Open Ai Remove The Quotes From Post Data,php|curl|openai-api,1476,1,0,True,2023-01-09 04:45:09,registered,https://stackoverflow.com/questions/75050771/php-curl-open-ai-remove-the-quotes-from-post-data
75049140,OpenAI GPT-3 API error 429: &quot;Request failed with status code 429&quot;,vue.js|openai-api|gpt-3,9807,2,2,True,2023-01-09 00:46:00,registered,https://stackoverflow.com/questions/75049140/openai-gpt-3-api-error-429-request-failed-with-status-code-429
75048655,See the contents of OpenAI Fine Tuned Model Results in Python using the OpenAI API,python-3.x|openai-api,546,0,1,False,2023-01-08 23:42:44,registered,https://stackoverflow.com/questions/75048655/see-the-contents-of-openai-fine-tuned-model-results-in-python-using-the-openai-a
75041744,OpenAI not giving response because of invalid request,java|android|openai-api,400,0,0,False,2023-01-08 01:01:03,registered,https://stackoverflow.com/questions/75041744/openai-not-giving-response-because-of-invalid-request
75041580,OpenAI API giving error: 429 Too Many Requests,node.js|express|openai-api|http-status-code-429,104882,10,57,True,2023-01-08 00:38:04,registered,https://stackoverflow.com/questions/75041580/openai-api-giving-error-429-too-many-requests
75041247,What&#39;s the correct URL to test OpenAI API?,curl|openai-api|gpt-3,30723,2,3,True,2023-01-07 23:50:32,registered,https://stackoverflow.com/questions/75041247/whats-the-correct-url-to-test-openai-api
75030364,Getting error 400 on OpenAI image edit API,javascript|openai-api,1798,0,2,False,2023-01-06 20:29:40,registered,https://stackoverflow.com/questions/75030364/getting-error-400-on-openai-image-edit-api
75026842,How do I upload images from external URLs onto Firebase? (using next.js),javascript|image|next.js|firebase-storage|openai-api,487,0,1,False,2023-01-06 13:07:44,registered,https://stackoverflow.com/questions/75026842/how-do-i-upload-images-from-external-urls-onto-firebase-using-next-js
75003737,Trying to Insert an input function using Python in OpenAI,python|openai-api,470,1,0,True,2023-01-04 18:56:28,registered,https://stackoverflow.com/questions/75003737/trying-to-insert-an-input-function-using-python-in-openai
74988365,OpenAI GPT-3 API error: &quot;AttributeError: module &#39;openai&#39; has no attribute &#39;GPT&#39;&quot;,python|module|attributeerror|openai-api|gpt-3,2822,1,0,True,2023-01-03 10:29:18,registered,https://stackoverflow.com/questions/74988365/openai-gpt-3-api-error-attributeerror-module-openai-has-no-attribute-gpt
74981957,OpenAI API error: &quot;InvalidRequestError: Invalid URL (POST /v1/classifications)&quot;,python|curl|classification|openai-api,2841,1,2,True,2023-01-02 20:39:31,registered,https://stackoverflow.com/questions/74981957/openai-api-error-invalidrequesterror-invalid-url-post-v1-classifications
74980672,localVarFormParams.getHeaders is not function when using openai.createImageEdit(),react-native|openai-api,109,0,1,False,2023-01-02 18:20:35,registered,https://stackoverflow.com/questions/74980672/localvarformparams-getheaders-is-not-function-when-using-openai-createimageedit
74978793,OpenAI GPT-3 API error: &quot;InvalidRequestError: Unrecognized request argument supplied&quot;,python|artificial-intelligence|openai-api|gpt-3,6514,1,0,True,2023-01-02 12:28:18,registered,https://stackoverflow.com/questions/74978793/openai-gpt-3-api-error-invalidrequesterror-unrecognized-request-argument-supp
74977575,Expo react-native Error: URL.search is not implemented when working with openai.createImage General API discussion,react-native|openai-api,6489,2,6,True,2023-01-02 06:45:36,registered,https://stackoverflow.com/questions/74977575/expo-react-native-error-url-search-is-not-implemented-when-working-with-openai
74975768,How can I send an image editing request to the OpenAI endpoint from an Android App written in Kotlin?,android|kotlin|retrofit|openai-api,634,0,1,False,2023-01-02 01:19:55,registered,https://stackoverflow.com/questions/74975768/how-can-i-send-an-image-editing-request-to-the-openai-endpoint-from-an-android-a
74972567,OpenAI API in node gives basic Await error. How do I fix?,javascript|node.js|openai-api,2716,2,0,True,2023-01-01 08:53:13,registered,https://stackoverflow.com/questions/74972567/openai-api-in-node-gives-basic-await-error-how-do-i-fix
