지점,지점명,일시,평균 전운량(1/10),평균 중하층운량(1/10)
239,세종,2022-01-02,3.3,2
185,고산,2022-01-02,4.9,2.9
279,구미,2022-01-02,2,1.3
130,울진,2022-01-02,2.8,1.8
159,부산,2022-01-02,0.5,0
211,인제,2022-01-02,4.6,2.8
143,대구,2022-01-02,2.1,1.8
254,순창군,2022-01-02,2.6,1.9
247,남원,2022-01-02,2.3,1.8
168,여수,2022-01-02,0.5,0.5
115,울릉도,2022-01-02,5.1,4
272,영주,2022-01-02,3.4,0
203,이천,2022-01-02,4.1,3.9
248,장수,2022-01-02,2.3,1.6
106,동해,2022-01-02,3,2.3
262,고흥,2022-01-02,1.3,0.5
238,금산,2022-01-02,1.5,1.4
232,천안,2022-01-02,3.6,3.1
169,흑산도,2022-01-02,4.1,3.9
95,철원,2022-01-02,3.9,2.3
212,홍천,2022-01-02,4.4,3.8
137,상주,2022-01-02,2.4,0.8
216,태백,2022-01-02,3,1
165,목포,2022-01-02,2.8,2.4
129,서산,2022-01-02,2.5,1.5
188,성산,2022-01-02,4.4,2.5
140,군산,2022-01-02,2.5,1.4
235,보령,2022-01-02,3.6,3.3
295,남해,2022-01-02,0.9,0.3
100,대관령,2022-01-02,3.4,2.8
278,의성,2022-01-02,2.4,0.8
99,파주,2022-01-02,3.4,1.9
243,부안,2022-01-02,2.8,1.6
268,진도군,2022-01-02,3.5,3
281,영천,2022-01-02,3.4,2.5
136,안동,2022-01-02,2,2
152,울산,2022-01-02,0.9,0.9
257,양산시,2022-01-02,0.9,0
93,북춘천,2022-01-02,3.6,3.3
202,양평,2022-01-02,4.3,3.5
189,서귀포,2022-01-02,2.4,1.6
184,제주,2022-01-02,5.1,4.3
285,합천,2022-01-02,2.8,1.9
245,정읍,2022-01-02,2.5,2.5
271,봉화,2022-01-02,3,2.3
259,강진군,2022-01-02,2.4,1
244,임실,2022-01-02,2.8,2
264,함양군,2022-01-02,3.1,1.9
131,청주,2022-01-02,2.9,2.9
263,의령군,2022-01-02,0.3,0
162,통영,2022-01-02,1.1,0.6
276,청송군,2022-01-02,2,1.3
294,거제,2022-01-02,0.6,0.4
289,산청,2022-01-02,3.4,3.4
119,수원,2022-01-02,2.3,2.1
266,광양시,2022-01-02,1.1,0.3
277,영덕,2022-01-02,3.1,1.4
155,창원,2022-01-02,0,0
255,북창원,2022-01-02,0.1,0
251,고창군,2022-01-02,3.6,2.9
130,울진,2022-01-03,2.3,1.6
268,진도군,2022-01-03,1.5,0.8
156,광주,2022-01-03,0.3,0
105,강릉,2022-01-03,1.9,1.1
271,봉화,2022-01-03,1.5,1.3
133,대전,2022-01-03,2.6,2.6
288,밀양,2022-01-03,0.1,0.1
106,동해,2022-01-03,2.8,1.9
93,북춘천,2022-01-03,4.6,4
189,서귀포,2022-01-03,2.8,2
152,울산,2022-01-03,2.5,0.6
266,광양시,2022-01-03,0.1,0
252,영광군,2022-01-03,1.8,0.3
285,합천,2022-01-03,1.1,0.1
108,서울,2022-01-03,4.9,3.6
259,강진군,2022-01-03,1.8,0.4
258,보성군,2022-01-03,1.5,0.5
172,고창,2022-01-03,0.8,0.1
221,제천,2022-01-03,2,1.9
138,포항,2022-01-03,2.4,0.5
248,장수,2022-01-03,1,1
244,임실,2022-01-03,0.8,0.8
272,영주,2022-01-03,2,0
226,보은,2022-01-03,1,1
232,천안,2022-01-03,2.6,1.3
95,철원,2022-01-03,7.1,4
192,진주,2022-01-03,0.1,0.1
143,대구,2022-01-03,1,0.9
251,고창군,2022-01-03,1.4,0.6
155,창원,2022-01-03,1,0
264,함양군,2022-01-03,0.6,0
119,수원,2022-01-03,4.1,3
129,서산,2022-01-03,3.4,1.5
238,금산,2022-01-03,1.8,1.5
239,세종,2022-01-03,3,1.1
261,해남,2022-01-03,2.1,0.9
174,순천,2022-01-03,0.5,0.1
235,보령,2022-01-03,5.6,3.3
284,거창,2022-01-03,1.1,0
188,성산,2022-01-03,3.4,1.6
236,부여,2022-01-03,3.6,1.6
245,정읍,2022-01-03,1.5,1.1
146,전주,2022-01-03,1.1,1
289,산청,2022-01-03,0.9,0.6
260,장흥,2022-01-03,2.3,0.8
277,영덕,2022-01-03,1.3,0.3
131,청주,2022-01-03,2.8,1.4
281,영천,2022-01-03,0.4,0.4
273,문경,2022-01-03,2,1.1
112,인천,2022-01-03,5.3,3
100,대관령,2022-01-03,2.1,1.4
216,태백,2022-01-03,3.4,0.6
102,백령도,2022-01-03,7.1,5.1
137,상주,2022-01-03,1.3,1
159,부산,2022-01-03,0.9,0
140,군산,2022-01-03,3.6,3
283,경주시,2022-01-03,2,0
294,거제,2022-01-03,0.8,0.3
295,남해,2022-01-03,0.3,0
136,안동,2022-01-03,1.4,1.1
115,울릉도,2022-01-03,5.5,2.5
121,영월,2022-01-03,1.6,1.6
135,추풍령,2022-01-03,1.1,1
278,의성,2022-01-03,0.1,0.1
202,양평,2022-01-03,4.6,3.4
243,부안,2022-01-03,3.5,1.1
184,제주,2022-01-03,5.3,4.3
170,완도,2022-01-03,1.4,0.9
127,충주,2022-01-03,2.9,2.3
201,강화,2022-01-03,7.9,4
99,파주,2022-01-03,6.5,2.8
98,동두천,2022-01-03,6.5,4.3
255,북창원,2022-01-03,1.1,0
257,양산시,2022-01-03,1.3,0
203,이천,2022-01-03,3.6,2.4
276,청송군,2022-01-03,0.6,0.1
211,인제,2022-01-03,4.9,4.4
212,홍천,2022-01-03,4.5,2.3
279,구미,2022-01-03,1.3,1
247,남원,2022-01-03,0.9,0.4
169,흑산도,2022-01-03,4,3.6
185,고산,2022-01-03,3.3,3.1
254,순창군,2022-01-03,0,0
177,홍성,2022-01-03,3.8,3.1
253,김해시,2022-01-03,1.1,0.5
165,목포,2022-01-03,1.9,0
90,속초,2022-01-03,2.5,1.6
217,정선군,2022-01-03,2.8,2.4
104,북강릉,2022-01-03,1.9,0
263,의령군,2022-01-03,0.6,0
114,원주,2022-01-03,3.9,1.6
262,고흥,2022-01-03,1.1,0.4
162,통영,2022-01-03,0.1,0
168,여수,2022-01-03,0.5,0
281,영천,2022-01-04,1.5,0.4
104,북강릉,2022-01-04,0.1,0.1
268,진도군,2022-01-04,6.2,0.8
278,의성,2022-01-04,0,0.1
169,흑산도,2022-01-04,6.3,6.1
129,서산,2022-01-04,0.2,1.5
245,정읍,2022-01-04,2.2,1.1
188,성산,2022-01-04,6,1.6
95,철원,2022-01-04,0,4
119,수원,2022-01-04,0,0
140,군산,2022-01-04,1.7,3
255,북창원,2022-01-04,1.8,0
165,목포,2022-01-04,4.9,4.6
232,천안,2022-01-04,1.7,1.3
295,남해,2022-01-04,2.3,0
212,홍천,2022-01-04,0.2,2.3
259,강진군,2022-01-04,3.7,0.4
93,북춘천,2022-01-04,0,0
108,서울,2022-01-04,0,0
90,속초,2022-01-04,0.8,1.6
168,여수,2022-01-04,2.1,1.8
236,부여,2022-01-04,1.7,1.6
203,이천,2022-01-04,0,2.4
138,포항,2022-01-04,2,2
279,구미,2022-01-04,0,1
247,남원,2022-01-04,2.5,0.4
253,김해시,2022-01-04,1.8,0.5
114,원주,2022-01-04,0.7,1.6
146,전주,2022-01-04,2.9,2.9
174,순천,2022-01-04,3.3,3.3
262,고흥,2022-01-04,3.5,0.4
211,인제,2022-01-04,0,4.4
266,광양시,2022-01-04,2.9,1.3
251,고창군,2022-01-04,3.7,0.6
131,청주,2022-01-04,1.4,1.3
189,서귀포,2022-01-04,5.8,4.6
184,제주,2022-01-04,6.8,6
243,부안,2022-01-04,3.3,1.1
106,동해,2022-01-04,0.8,1.9
202,양평,2022-01-04,0,3.4
285,합천,2022-01-04,1.2,0.1
257,양산시,2022-01-04,1.3,0
277,영덕,2022-01-04,1.7,0.3
99,파주,2022-01-04,0,2.8
238,금산,2022-01-04,0.3,1.5
137,상주,2022-01-04,1.5,1
235,보령,2022-01-04,2,3.3
244,임실,2022-01-04,0.2,0.8
100,대관령,2022-01-04,0.2,1.4
136,안동,2022-01-04,2.1,2.1
152,울산,2022-01-04,2.8,2.8
248,장수,2022-01-04,1.3,1
272,영주,2022-01-04,1.3,0
105,강릉,2022-01-04,0.3,1.1
127,충주,2022-01-04,1.2,2.3
112,인천,2022-01-04,0,0
172,고창,2022-01-04,5.2,0.1
177,홍성,2022-01-04,1.3,1.3
201,강화,2022-01-04,0,0
217,정선군,2022-01-04,1.5,2.4
170,완도,2022-01-04,4.5,0.9
135,추풍령,2022-01-04,0.2,1
192,진주,2022-01-04,3,0.1
185,고산,2022-01-04,7.8,3.1
283,경주시,2022-01-04,0.2,0
221,제천,2022-01-04,1.5,1.9
121,영월,2022-01-04,1.7,1.6
133,대전,2022-01-04,1.4,1.4
98,동두천,2022-01-04,0,4.3
115,울릉도,2022-01-04,7.3,7.3
143,대구,2022-01-04,1.9,1.4
284,거창,2022-01-04,1.8,0
159,부산,2022-01-04,1.4,1.3
261,해남,2022-01-04,4.7,0.9
273,문경,2022-01-04,1.3,1.1
226,보은,2022-01-04,1.5,1
156,광주,2022-01-04,4.3,4.1
130,울진,2022-01-04,1.3,1.6
239,세종,2022-01-04,1.7,1.1
252,영광군,2022-01-04,4.1,2.9
162,통영,2022-01-04,2.7,0
264,함양군,2022-01-04,1.7,0
263,의령군,2022-01-04,1.8,0
254,순창군,2022-01-04,3.7,0
276,청송군,2022-01-04,0,0.1
289,산청,2022-01-04,3.8,0.6
102,백령도,2022-01-04,1,0.3
294,거제,2022-01-04,2.7,0.3
288,밀양,2022-01-04,2,0.1
271,봉화,2022-01-04,1.5,1.3
258,보성군,2022-01-04,2.3,0.5
216,태백,2022-01-04,1.5,0.6
260,장흥,2022-01-04,3.2,0.8
155,창원,2022-01-04,2,2
284,거창,2022-01-05,8.8,5.3
211,인제,2022-01-05,6.4,0
108,서울,2022-01-05,7.3,1
104,북강릉,2022-01-05,6.8,2.9
247,남원,2022-01-05,9.6,8.1
266,광양시,2022-01-05,9.5,7.6
245,정읍,2022-01-05,9.5,8
98,동두천,2022-01-05,5.9,3.3
131,청주,2022-01-05,7.4,3.3
261,해남,2022-01-05,9.8,6.9
217,정선군,2022-01-05,6.8,2.9
133,대전,2022-01-05,9.4,6.6
221,제천,2022-01-05,7.9,0.3
279,구미,2022-01-05,8.8,4.5
254,순창군,2022-01-05,9.9,4.5
174,순천,2022-01-05,9.6,7.1
146,전주,2022-01-05,9,3.6
283,경주시,2022-01-05,8,3.3
248,장수,2022-01-05,9.9,5
253,김해시,2022-01-05,9.6,7.4
203,이천,2022-01-05,7,4
260,장흥,2022-01-05,9.9,7
156,광주,2022-01-05,9.3,6
252,영광군,2022-01-05,9.4,3.3
236,부여,2022-01-05,9.6,4
169,흑산도,2022-01-05,8.4,7.3
235,보령,2022-01-05,8.6,4.9
278,의성,2022-01-05,8.8,4.3
105,강릉,2022-01-05,6.3,2.9
268,진도군,2022-01-05,9.8,8.3
127,충주,2022-01-05,7.1,2.3
216,태백,2022-01-05,6.6,3.4
258,보성군,2022-01-05,9.9,6.9
102,백령도,2022-01-05,5.3,0
281,영천,2022-01-05,8.9,4
232,천안,2022-01-05,8.1,4.6
294,거제,2022-01-05,9.4,7
119,수원,2022-01-05,6,0.8
155,창원,2022-01-05,9,3
212,홍천,2022-01-05,6.6,0
162,통영,2022-01-05,9.5,6.1
95,철원,2022-01-05,6.9,1.9
271,봉화,2022-01-05,5.4,2.4
129,서산,2022-01-05,7.8,1.5
201,강화,2022-01-05,7.5,2
172,고창,2022-01-05,9.1,1.4
189,서귀포,2022-01-05,9.9,5.4
100,대관령,2022-01-05,6.5,3
273,문경,2022-01-05,8,2.3
159,부산,2022-01-05,8.9,2.4
137,상주,2022-01-05,9.3,4.6
99,파주,2022-01-05,6.8,5.1
272,영주,2022-01-05,5.5,0
276,청송군,2022-01-05,5.9,2
115,울릉도,2022-01-05,7.8,7.4
152,울산,2022-01-05,8.6,4.4
285,합천,2022-01-05,9.1,3.3
165,목포,2022-01-05,10,9.5
202,양평,2022-01-05,7.9,3.8
106,동해,2022-01-05,6.9,3.4
226,보은,2022-01-05,8.6,3.1
192,진주,2022-01-05,9.8,7.8
170,완도,2022-01-05,9.8,5.6
257,양산시,2022-01-05,9.3,0
244,임실,2022-01-05,9.9,7.6
277,영덕,2022-01-05,6.9,5.3
168,여수,2022-01-05,9.5,6.6
143,대구,2022-01-05,8.6,3.3
259,강진군,2022-01-05,9.9,6.3
135,추풍령,2022-01-05,9.4,5.1
239,세종,2022-01-05,8.4,4
93,북춘천,2022-01-05,7,1
262,고흥,2022-01-05,9.9,6.6
112,인천,2022-01-05,7.1,0
184,제주,2022-01-05,10,8
243,부안,2022-01-05,9,3.6
130,울진,2022-01-05,7.3,4.5
138,포항,2022-01-05,8,4.6
188,성산,2022-01-05,9.8,9.3
251,고창군,2022-01-05,9.4,4.8
114,원주,2022-01-05,7,0.6
238,금산,2022-01-05,9.3,7.8
136,안동,2022-01-05,6.9,2.4
288,밀양,2022-01-05,8.8,3.1
289,산청,2022-01-05,9.8,5.8
255,북창원,2022-01-05,9.9,3.3
264,함양군,2022-01-05,10,3.3
90,속초,2022-01-05,4.4,2.8
140,군산,2022-01-05,9.5,7
121,영월,2022-01-05,7.4,1.6
185,고산,2022-01-05,9.6,7.1
177,홍성,2022-01-05,7.8,3.3
263,의령군,2022-01-05,9.9,8.8
295,남해,2022-01-05,9.4,7.6
159,부산,2022-01-06,2.8,2
257,양산시,2022-01-06,2.4,0
251,고창군,2022-01-06,0,0
244,임실,2022-01-06,1.1,0.5
162,통영,2022-01-06,2.5,1.5
184,제주,2022-01-06,4.9,4
278,의성,2022-01-06,1,0.4
112,인천,2022-01-06,0,0
281,영천,2022-01-06,1.1,1.1
243,부안,2022-01-06,0,0
143,대구,2022-01-06,1.5,0.8
202,양평,2022-01-06,0,0
98,동두천,2022-01-06,0,0
283,경주시,2022-01-06,1.9,1.6
165,목포,2022-01-06,0.6,0.6
264,함양군,2022-01-06,1.4,1.1
272,영주,2022-01-06,1,0
266,광양시,2022-01-06,2.3,1.5
273,문경,2022-01-06,0,0
268,진도군,2022-01-06,1.4,1
212,홍천,2022-01-06,0,0
115,울릉도,2022-01-06,7.4,7.4
102,백령도,2022-01-06,1.9,1.9
263,의령군,2022-01-06,2.5,2.1
294,거제,2022-01-06,1.6,1.6
226,보은,2022-01-06,0,0
216,태백,2022-01-06,1.1,0
239,세종,2022-01-06,0,0
285,합천,2022-01-06,1.5,1.5
276,청송군,2022-01-06,0.9,0.9
127,충주,2022-01-06,0,0
136,안동,2022-01-06,0.9,0.9
201,강화,2022-01-06,0,0
155,창원,2022-01-06,2.6,2.6
121,영월,2022-01-06,0.3,0.3
169,흑산도,2022-01-06,2.6,2.6
135,추풍령,2022-01-06,0.4,0
152,울산,2022-01-06,2.3,2.3
277,영덕,2022-01-06,1.9,1.5
93,북춘천,2022-01-06,0,0
192,진주,2022-01-06,2.5,2.5
189,서귀포,2022-01-06,2.8,1.9
238,금산,2022-01-06,0,0
235,보령,2022-01-06,0.3,0.1
170,완도,2022-01-06,1.3,1.3
289,산청,2022-01-06,1.3,1.3
140,군산,2022-01-06,0,0
295,남해,2022-01-06,2.6,1.1
255,북창원,2022-01-06,2.5,2
188,성산,2022-01-06,3.1,2.3
106,동해,2022-01-06,1,0.1
99,파주,2022-01-06,0.5,0
245,정읍,2022-01-06,0.4,0.4
146,전주,2022-01-06,0.4,0.4
247,남원,2022-01-06,1.3,1.1
172,고창,2022-01-06,0,0
138,포항,2022-01-06,1.5,1.5
262,고흥,2022-01-06,2,1.1
236,부여,2022-01-06,0,0
252,영광군,2022-01-06,0.6,0.3
119,수원,2022-01-06,0,0
114,원주,2022-01-06,0,0
261,해남,2022-01-06,1.3,1
253,김해시,2022-01-06,2.5,1.4
259,강진군,2022-01-06,0.9,0.9
156,광주,2022-01-06,0.6,0.6
279,구미,2022-01-06,0.9,0.9
130,울진,2022-01-06,1.9,0.4
258,보성군,2022-01-06,0.8,0.8
203,이천,2022-01-06,0,0
108,서울,2022-01-06,0,0
221,제천,2022-01-06,0.3,0.3
133,대전,2022-01-06,0,0
90,속초,2022-01-06,0.6,0
288,밀양,2022-01-06,2.4,2.1
271,봉화,2022-01-06,1.1,0.3
284,거창,2022-01-06,1.5,1.4
248,장수,2022-01-06,1,0.6
95,철원,2022-01-06,0.1,0
168,여수,2022-01-06,2.5,1.5
129,서산,2022-01-06,0,1.5
174,순천,2022-01-06,1.6,1.1
131,청주,2022-01-06,0,0
185,고산,2022-01-06,4.4,4.3
105,강릉,2022-01-06,0.8,0.3
100,대관령,2022-01-06,0.8,0.8
254,순창군,2022-01-06,1.3,0.8
217,정선군,2022-01-06,1,0.8
137,상주,2022-01-06,0.1,0
211,인제,2022-01-06,0,0
260,장흥,2022-01-06,0.1,0
232,천안,2022-01-06,0,0
177,홍성,2022-01-06,0,0
104,북강릉,2022-01-06,0.5,0.3
130,울진,2022-01-07,0,0
201,강화,2022-01-07,0,0
288,밀양,2022-01-07,0,0
272,영주,2022-01-07,0,0
127,충주,2022-01-07,0,0
285,합천,2022-01-07,0,0
98,동두천,2022-01-07,0,0
271,봉화,2022-01-07,0,0
155,창원,2022-01-07,0.1,0
216,태백,2022-01-07,0,0
217,정선군,2022-01-07,0,0
255,북창원,2022-01-07,0,0
133,대전,2022-01-07,0,0
188,성산,2022-01-07,2.3,0.9
177,홍성,2022-01-07,0,0
102,백령도,2022-01-07,0,0
284,거창,2022-01-07,0,0
221,제천,2022-01-07,0,0
135,추풍령,2022-01-07,0.1,0
268,진도군,2022-01-07,1.3,0
95,철원,2022-01-07,0,0
104,북강릉,2022-01-07,0,0
159,부산,2022-01-07,0,0
112,인천,2022-01-07,0,0
143,대구,2022-01-07,0,0
115,울릉도,2022-01-07,5,5
273,문경,2022-01-07,0,0
121,영월,2022-01-07,0,0
232,천안,2022-01-07,0,0
261,해남,2022-01-07,0.8,0
129,서산,2022-01-07,0.5,1.5
264,함양군,2022-01-07,0,0
252,영광군,2022-01-07,0,0
170,완도,2022-01-07,0.8,0
119,수원,2022-01-07,0,0
189,서귀포,2022-01-07,3.1,0.4
245,정읍,2022-01-07,0,0
254,순창군,2022-01-07,0,0
259,강진군,2022-01-07,0.8,0
156,광주,2022-01-07,0,0
93,북춘천,2022-01-07,0,0
185,고산,2022-01-07,2.9,0.6
260,장흥,2022-01-07,0.6,0
283,경주시,2022-01-07,0,0
239,세종,2022-01-07,0,0
236,부여,2022-01-07,0,0
114,원주,2022-01-07,0,0
140,군산,2022-01-07,0.6,0.1
295,남해,2022-01-07,0.4,0
138,포항,2022-01-07,0,0
262,고흥,2022-01-07,0.8,0
281,영천,2022-01-07,0,0
247,남원,2022-01-07,0,0
244,임실,2022-01-07,0.3,0
146,전주,2022-01-07,0,0
184,제주,2022-01-07,1.4,0
257,양산시,2022-01-07,0,0
278,의성,2022-01-07,0,0
212,홍천,2022-01-07,0,0
211,인제,2022-01-07,0.3,0
243,부안,2022-01-07,0,0
202,양평,2022-01-07,0,0
105,강릉,2022-01-07,0.4,0
289,산청,2022-01-07,0,0
100,대관령,2022-01-07,0,0
106,동해,2022-01-07,0,0
266,광양시,2022-01-07,0,0
251,고창군,2022-01-07,0,0
174,순천,2022-01-07,0,0
99,파주,2022-01-07,0.1,0
172,고창,2022-01-07,0,0
165,목포,2022-01-07,0.6,0
131,청주,2022-01-07,0,0
235,보령,2022-01-07,0,0
137,상주,2022-01-07,0,0
162,통영,2022-01-07,0,0
90,속초,2022-01-07,0.3,0
136,안동,2022-01-07,0,0
276,청송군,2022-01-07,0.1,0
238,금산,2022-01-07,0,0
108,서울,2022-01-07,0,0
203,이천,2022-01-07,0.6,0
258,보성군,2022-01-07,0.1,0
279,구미,2022-01-07,0.4,0
169,흑산도,2022-01-07,3,2.1
248,장수,2022-01-07,0.4,0
226,보은,2022-01-07,0.4,0
152,울산,2022-01-07,0,0
168,여수,2022-01-07,0.1,0
192,진주,2022-01-07,0,0
253,김해시,2022-01-07,0,0
277,영덕,2022-01-07,0.1,0
294,거제,2022-01-07,0,0
263,의령군,2022-01-07,0,0
185,고산,2022-01-08,8,7.3
260,장흥,2022-01-08,1.9,0.1
232,천안,2022-01-08,3,2.6
284,거창,2022-01-08,1.3,0
168,여수,2022-01-08,0.6,0
100,대관령,2022-01-08,3.3,2.6
254,순창군,2022-01-08,2.4,1.3
174,순천,2022-01-08,1.7,0.4
248,장수,2022-01-08,2,1.4
257,양산시,2022-01-08,0,0
131,청주,2022-01-08,4.4,4.4
133,대전,2022-01-08,3,2.6
258,보성군,2022-01-08,2,0.4
108,서울,2022-01-08,5.9,5.9
90,속초,2022-01-08,2.9,1.9
156,광주,2022-01-08,2.5,1.9
271,봉화,2022-01-08,2.3,2
130,울진,2022-01-08,1.9,0.4
114,원주,2022-01-08,3.6,2.8
236,부여,2022-01-08,2.4,2.1
121,영월,2022-01-08,2.4,2.4
272,영주,2022-01-08,1.4,0
253,김해시,2022-01-08,0,0
119,수원,2022-01-08,5,5
252,영광군,2022-01-08,4.1,0.9
129,서산,2022-01-08,5.7,1.5
279,구미,2022-01-08,2,1.8
146,전주,2022-01-08,3.1,3.1
261,해남,2022-01-08,1.9,0.3
104,북강릉,2022-01-08,1.4,0.5
247,남원,2022-01-08,2.6,2
105,강릉,2022-01-08,2.9,2.1
221,제천,2022-01-08,3,1.8
262,고흥,2022-01-08,1.6,0.6
106,동해,2022-01-08,2.4,0.5
188,성산,2022-01-08,5,2.3
217,정선군,2022-01-08,3.4,3.1
295,남해,2022-01-08,2.1,0
115,울릉도,2022-01-08,1,0.8
264,함양군,2022-01-08,2.1,1.6
140,군산,2022-01-08,2.3,2.1
170,완도,2022-01-08,1.4,0.9
212,홍천,2022-01-08,5.1,3
189,서귀포,2022-01-08,4.4,4.4
255,북창원,2022-01-08,0,0
277,영덕,2022-01-08,2.4,1
93,북춘천,2022-01-08,5.9,5
152,울산,2022-01-08,0.6,0
135,추풍령,2022-01-08,2.4,1.9
169,흑산도,2022-01-08,7.6,7.3
192,진주,2022-01-08,1.6,0
201,강화,2022-01-08,6.3,3.5
276,청송군,2022-01-08,1.3,1.1
127,충주,2022-01-08,4,2.6
136,안동,2022-01-08,1.6,1.6
285,합천,2022-01-08,0.9,0
162,통영,2022-01-08,1,0
155,창원,2022-01-08,0,0
216,태백,2022-01-08,2.1,1.9
294,거제,2022-01-08,0.7,0
102,백령도,2022-01-08,7.1,5
263,의령군,2022-01-08,1,0
226,보은,2022-01-08,2.9,2.8
137,상주,2022-01-08,4,1.5
288,밀양,2022-01-08,0,0
281,영천,2022-01-08,1.1,0.1
172,고창,2022-01-08,2.4,0.9
165,목포,2022-01-08,4,2.9
99,파주,2022-01-08,6,6
